time_period,measure,sex,obs_value,ingested_on,last_obs_value,change_obs_value
2019-10-01,full-time,female,3310.34208805,2023-10-01,3311.18251771,-0.8404296600001544
2019-10-01,full-time,male,5536.04525331,2023-10-01,5532.7865628,3.258690509999724
2019-10-01,full-time,all,8846.38734137,2023-10-01,8843.96908051,2.418260860000373
2019-10-01,part-time,male,1274.19966225,2023-10-01,1294.74889533,-20.549233080000022
2019-09-01,part-time,female,2803.10220468,2023-10-01,2789.0612361,14.040968580000026
2019-09-01,part-time,all,4086.10396263,2023-10-01,4063.26089836,22.843064270000013
2019-09-01,full-time,female,3308.61387096,2023-10-01,3310.34208805,-1.7282170899998164
2019-09-01,full-time,male,5557.55546235,2023-10-01,5536.04525331,21.510209040000518
2019-09-01,full-time,all,8866.16933331,2023-10-01,8846.38734137,19.78199193999899
2019-09-01,part-time,male,1283.00175794,2023-10-01,1274.19966225,8.802095689999987
2019-08-01,part-time,female,2796.33268403,2023-10-01,2803.10220468,-6.769520649999777
2019-08-01,part-time,all,4094.93159024,2023-10-01,4086.10396263,8.827627610000036
2019-08-01,full-time,female,3283.09481114,2023-10-01,3308.61387096,-25.519059820000166
2019-08-01,full-time,male,5545.68251403,2023-10-01,5557.55546235,-11.872948320000432
2019-08-01,full-time,all,8828.77732517,2023-10-01,8866.16933331,-37.392008139999234
2019-08-01,part-time,male,1298.59890621,2023-10-01,1283.00175794,15.597148269999934
2019-07-01,part-time,female,2750.22062351,2023-10-01,2796.33268403,-46.112060519999886
2019-07-01,part-time,all,4041.54241222,2023-10-01,4094.93159024,-53.38917801999969
2019-07-01,full-time,female,3290.78370584,2023-10-01,3283.09481114,7.688894700000219
2019-07-01,full-time,male,5548.47810778,2023-10-01,5545.68251403,2.79559375000008
2019-07-01,full-time,all,8839.26181362,2023-10-01,8828.77732517,10.484488449999844
2019-07-01,part-time,male,1291.32178871,2023-10-01,1298.59890621,-7.277117500000031
2019-06-01,part-time,female,2773.43555932,2023-10-01,2750.22062351,23.214935809999588
2019-06-01,part-time,all,4058.04978981,2023-10-01,4041.54241222,16.507377590000033
2019-06-01,full-time,female,3241.56359946,2023-10-01,3290.78370584,-49.220106379999834
2019-06-01,full-time,male,5545.19483336,2023-10-01,5548.47810778,-3.283274419999543
2019-06-01,full-time,all,8786.75843282,2023-10-01,8839.26181362,-52.50338080000074
2019-06-01,part-time,male,1284.61423049,2023-10-01,1291.32178871,-6.70755822000001
2019-05-01,part-time,female,2774.29729391,2023-10-01,2773.43555932,0.8617345900001965
2019-05-01,part-time,all,4065.65493521,2023-10-01,4058.04978981,7.605145399999856
2019-05-01,full-time,female,3226.88963028,2023-10-01,3241.56359946,-14.673969180000313
2019-05-01,full-time,male,5540.9996899,2023-10-01,5545.19483336,-4.195143460000509
2019-05-01,full-time,all,8767.88932018,2023-10-01,8786.75843282,-18.869112639999003
2019-05-01,part-time,male,1291.3576413,2023-10-01,1284.61423049,6.743410810000114
2019-04-01,part-time,female,2761.52674736,2023-10-01,2774.29729391,-12.770546549999835
2019-04-01,part-time,all,4035.87563756,2023-10-01,4065.65493521,-29.77929764999999
2019-04-01,full-time,female,3269.61081362,2023-10-01,3226.88963028,42.72118334000015
2019-04-01,full-time,male,5503.9537245,2023-10-01,5540.9996899,-37.04596539999966
2019-04-01,full-time,all,8773.56453813,2023-10-01,8767.88932018,5.675217949999933
2019-04-01,part-time,male,1274.3488902,2023-10-01,1291.3576413,-17.008751100000154
2019-03-01,part-time,female,2736.88048502,2023-10-01,2761.52674736,-24.64626234000025
2019-03-01,part-time,all,3992.05979386,2023-10-01,4035.87563756,-43.81584370000019
2019-03-01,full-time,female,3253.2699452,2023-10-01,3269.61081362,-16.34086841999988
2019-03-01,full-time,male,5522.73595739,2023-10-01,5503.9537245,18.78223289000016
2019-03-01,full-time,all,8776.0059026,2023-10-01,8773.56453813,2.441364469999826
2019-03-01,part-time,male,1255.17930883,2023-10-01,1274.3488902,-19.169581369999833
